Pandemic_covid19,Country,Year,Cases_covid19,Deaths_covid19,lon_covid19,lat_covid19,Pandemic_h1n1,year,Cases_h1n1,Deaths_h1n1,lon_h1n1,lat_h1n1
covid19,Greece,2020.0,5987.0,101.0,22.95555794,39.07469623,h1n1,2009.0,735.0,0.0,22.95555794,39.07469623
covid19,Greenland,2020.0,3.0,0.0,,,,,,,,
covid19,Grenada,2020.0,3.0,0.0,-61.68220189,12.11725044,,,,,,
covid19,Guadeloupe,2020.0,187.0,0.0,,,,,,,,
covid19,Guam,2020.0,6.0,0.0,,,,,,,,
covid19,Guatemala,2020.0,114.0,9.0,-90.36482009,15.69403664,h1n1,2009.0,525.0,3.0,-90.36482009,15.69403664
covid19,Guernsey,2020.0,3.0,0.0,,,,,,,,
covid19,Guinea,2020.0,20.0,0.0,-10.94066612,10.43621593,,,,,,
covid19,Guyana,2020.0,89.0,13.0,-58.98202459,4.79378034,h1n1,2009.0,2.0,0.0,-58.98202459,4.79378034
covid19,Haiti,2020.0,19.0,0.0,-72.68527509,18.93502563,,,,,,
covid19,Holy See,2020.0,18.0,0.0,,,,,,,,
covid19,Honduras,2020.0,177.0,0.0,-86.6151661,14.82688165,h1n1,2009.0,1466.0,5.0,-86.6151661,14.82688165
covid19,Hungary,2020.0,1035.0,34.0,19.39559116,47.16277506,h1n1,2009.0,96.0,0.0,19.39559116,47.16277506
covid19,Iceland,2020.0,4667.0,13.0,-18.57396167,64.99575386,h1n1,2009.0,57.0,0.0,-18.57396167,64.99575386
covid19,India,2020.0,3408.0,56.0,79.61197609999999,22.88578212,h1n1,2009.0,686.0,0.0,79.61197609999998,22.88578212
covid19,Indonesia,2020.0,3860.0,292.0,117.24011366,-2.21505456,h1n1,2009.0,46.0,0.0,117.24011366,-2.21505456
covid19,Iran (Islamic Republic of),2020.0,278992.0,16870.0,,,,,,,,
covid19,Iraq,2020.0,2806.0,224.0,43.74353149,33.03970582,h1n1,2009.0,44.0,0.0,43.74353149,33.03970582
covid19,Ireland,2020.0,6651.0,39.0,-8.13793569,53.17544870000001,h1n1,2009.0,390.0,0.0,-8.13793569,53.17544870000001
covid19,Israel,2020.0,8840.0,6.0,35.00444693,31.46110101,h1n1,2009.0,4179.0,0.0,35.00444693,31.46110101
covid19,Israel,2020.0,8840.0,6.0,35.00444693,31.46110101,h1n1,2009.0,4179.0,0.0,35.19628705,31.91613893
covid19,Israel,2020.0,8840.0,6.0,35.19628705,31.91613893,h1n1,2009.0,4179.0,0.0,35.00444693,31.46110101
covid19,Israel,2020.0,8840.0,6.0,35.19628705,31.91613893,h1n1,2009.0,4179.0,0.0,35.19628705,31.91613893
covid19,Italy,2020.0,571928.0,46856.0,12.07001339,42.79662641,h1n1,2009.0,1432.0,0.0,12.07001339,42.79662641
covid19,Jamaica,2020.0,170.0,6.0,-77.31482593,18.15694878,h1n1,2009.0,249.0,0.0,-77.31482593,18.15694878
